aereo,ac_id,D,date,time,time_sec
AA66963622,BUC3BC,EDDF,2017-08-17,11:01:02,39662
AA66962446,MAC225,EDDF,2017-08-17,11:01:03,39663
AA66952933,UAE45,EDDF,2017-08-17,11:02:03,39723
AA66939972,SWR1072,EDDF,2017-08-17,11:05:59,39959
AA66959509,DLH9U,EDDF,2017-08-17,11:07:20,40040
AA66960343,DLH7JT,EDDF,2017-08-17,11:18:15,40695
AA66952963,CFG207,EDDF,2017-08-17,11:20:13,40813
AA66952898,CFG441,EDDF,2017-08-17,11:21:26,40886
AA66958193,DLH433,EDDF,2017-08-17,11:22:37,40957
AA66954157,CFG067,EDDF,2017-08-17,11:24:23,41063
AA66959619,RZO560,EDDF,2017-08-17,11:26:31,41191
AA66942735,AFR12RD,EDDF,2017-08-17,11:27:25,41245
AA66957474,GEC8369,EDDF,2017-08-17,11:30:10,41410
AA66967142,TAR744,EDDF,2017-08-17,11:33:36,41616
AA66961359,DLH4PF,EDDF,2017-08-17,11:34:12,41652
AA66956077,BAW904N,EDDF,2017-08-17,11:36:53,41813
AA66956494,QTR21GC,EDDF,2017-08-17,11:37:46,41866
AA66955455,CFG2LW,EDDF,2017-08-17,11:39:13,41953
AA66960446,RJA125,EDDF,2017-08-17,11:41:36,42096
AA66963232,KLM13S,EDDF,2017-08-17,11:42:52,42172
AA66966716,SXS73C,EDDF,2017-08-17,11:44:50,42290
AA66946762,TCICT,EDDF,2017-08-17,11:47:12,42432
AA66948682,CFG455,EDDF,2017-08-17,11:48:13,42493
AA66958824,BER95VD,EDDF,2017-08-17,11:48:58,42538
AA66950520,WZZ6JG,EDDF,2017-08-17,11:52:01,42721
AA66946054,DLH3W,EDDF,2017-08-17,11:55:18,42918
AA66958918,RYR41XJ,EDDF,2017-08-17,11:56:40,43000
AA66961434,AZA408,EDDF,2017-08-17,11:57:51,43071
AA66961739,DLH1EK,EDDF,2017-08-17,11:58:56,43136
AA66959646,ETD7,EDDF,2017-08-17,12:00:57,43257
AA66952252,CFG185,EDDF,2017-08-17,12:01:52,43312
AA66961589,DLH273,EDDF,2017-08-17,12:03:42,43422
AA66953053,DLH501,EDDF,2017-08-17,12:06:16,43576
AA66962822,THY7RB,EDDF,2017-08-17,12:09:30,43770
AA66940749,BMR25BF,EDDF,2017-08-17,12:11:21,43881
AA66967483,PGT56B,EDDF,2017-08-17,12:11:38,43898
AA66953853,DLH499,EDDF,2017-08-17,12:13:20,44000
AA66964156,AFR176W,EDDF,2017-08-17,12:15:08,44108
AA66968406,CTN404L,EDDF,2017-08-17,12:16:40,44200
AA66966499,BCS6717,EDDF,2017-08-17,12:21:02,44462
AA66948560,DLH721,EDDF,2017-08-17,12:23:21,44601
AA66961486,MSR785,EDDF,2017-08-17,12:26:27,44787
AA66962853,DLH167,EDDF,2017-08-17,12:28:27,44907
AA66949440,VVV151,EDDF,2017-08-17,12:29:12,44952
AA66956134,TAM8070,EDDF,2017-08-17,12:29:25,44965
AA66957506,UAL926,EDDF,2017-08-17,12:30:29,45029
AA66958159,SVA179,EDDF,2017-08-17,12:32:08,45128
AA66927085,ADR112,EDDF,2017-08-17,12:33:47,45227
AA66961455,DLH2KV,EDDF,2017-08-17,12:33:53,45233
